time,Open,High,Low,Close,Volume
2026-05-06 23:40:00+00:00,647.32,647.87,647.08,647.74,450.02
2026-05-06 23:45:00+00:00,647.73,647.92,647.59,647.85,500.65
2026-05-06 23:50:00+00:00,647.85,648.16,647.74,648.16,778.29
2026-05-06 23:55:00+00:00,648.16,648.2,647.74,648.12,831.57
2026-05-07 00:00:00+00:00,648.12,649.04,648.12,648.48,2025.23
2026-05-07 00:05:00+00:00,648.48,649.56,648.47,649.46,3419.26
2026-05-07 00:10:00+00:00,649.46,650.3,649.46,649.61,2702.14
2026-05-07 00:15:00+00:00,649.62,649.62,648.81,649.6,1278.39
2026-05-07 00:20:00+00:00,649.59,649.6,648.36,648.47,935.9
2026-05-07 00:25:00+00:00,648.47,648.47,646.82,646.85,1775.61
2026-05-07 00:30:00+00:00,646.85,646.85,646.09,646.4,1966.96
2026-05-07 00:35:00+00:00,646.4,646.6,645.8,646.13,1303.01
2026-05-07 00:40:00+00:00,646.13,646.25,645.01,645.38,2447.48
2026-05-07 00:45:00+00:00,645.38,646.16,645.24,646.0,3086.61
2026-05-07 00:50:00+00:00,645.99,645.99,645.5,645.5,1311.85
2026-05-07 00:55:00+00:00,645.49,646.33,645.02,645.34,1876.73
2026-05-07 01:00:00+00:00,645.34,645.44,643.37,643.79,4786.49
2026-05-07 01:05:00+00:00,643.8,644.43,641.9,644.41,7305.67
2026-05-07 01:10:00+00:00,644.41,645.02,644.05,644.92,1366.39
2026-05-07 01:15:00+00:00,644.91,645.25,643.56,643.97,2099.49
2026-05-07 01:20:00+00:00,643.97,644.34,642.86,644.34,2550.55
2026-05-07 01:25:00+00:00,644.34,645.26,644.11,645.25,1371.51
2026-05-07 01:30:00+00:00,645.25,645.84,644.05,644.05,3495.95
2026-05-07 01:35:00+00:00,644.05,645.32,644.05,644.91,1975.43
2026-05-07 01:40:00+00:00,644.9,645.35,644.7,645.08,1594.99
2026-05-07 01:45:00+00:00,645.09,645.42,644.83,645.42,803.98
2026-05-07 01:50:00+00:00,645.42,645.43,643.82,643.95,1201.02
2026-05-07 01:55:00+00:00,643.94,645.49,643.88,645.32,2998.24
2026-05-07 02:00:00+00:00,645.32,645.48,644.71,644.72,1489.49
2026-05-07 02:05:00+00:00,644.71,644.94,643.77,643.78,725.51
2026-05-07 02:10:00+00:00,643.78,644.18,643.34,643.5,2604.71
2026-05-07 02:15:00+00:00,643.5,643.88,642.84,642.96,1736.46
2026-05-07 02:20:00+00:00,642.96,643.68,642.63,642.99,1852.09
2026-05-07 02:25:00+00:00,642.99,643.24,642.7,642.82,1157.25
2026-05-07 02:30:00+00:00,642.83,644.03,642.45,643.72,1434.92
2026-05-07 02:35:00+00:00,643.72,643.99,643.17,643.17,1283.17
2026-05-07 02:40:00+00:00,643.18,643.45,642.3,642.59,1615.48
2026-05-07 02:45:00+00:00,642.6,643.7,642.59,643.62,1422.27
2026-05-07 02:50:00+00:00,643.62,644.81,643.59,644.72,1512.46
2026-05-07 02:55:00+00:00,644.71,645.4,644.34,644.35,2185.5
2026-05-07 03:00:00+00:00,644.35,644.35,643.73,643.83,739.05
2026-05-07 03:05:00+00:00,643.83,644.13,643.29,643.54,1379.92
2026-05-07 03:10:00+00:00,643.54,644.09,643.3,643.35,777.42
2026-05-07 03:15:00+00:00,643.36,644.06,643.14,643.35,1736.36
2026-05-07 03:20:00+00:00,643.34,643.36,641.91,642.43,2932.24
2026-05-07 03:25:00+00:00,642.43,643.76,642.38,643.76,865.43
2026-05-07 03:30:00+00:00,643.75,644.34,643.16,644.21,2307.94
2026-05-07 03:35:00+00:00,644.21,644.81,644.0,644.81,908.56
2026-05-07 03:40:00+00:00,644.81,644.96,644.35,644.42,576.24
2026-05-07 03:45:00+00:00,644.42,644.75,643.61,644.67,1853.01
2026-05-07 03:50:00+00:00,644.69,644.94,644.04,644.04,1047.38
2026-05-07 03:55:00+00:00,644.04,644.04,642.86,642.91,1436.99
2026-05-07 04:00:00+00:00,642.92,643.36,642.66,642.66,1494.05
2026-05-07 04:05:00+00:00,642.65,643.04,642.44,642.7,1647.2
2026-05-07 04:10:00+00:00,642.71,643.99,642.7,643.88,720.16
2026-05-07 04:15:00+00:00,643.87,643.95,643.57,643.84,664.95
2026-05-07 04:20:00+00:00,643.84,644.08,643.42,643.83,764.59
2026-05-07 04:25:00+00:00,643.83,643.99,643.53,643.74,767.1
2026-05-07 04:30:00+00:00,643.74,644.63,643.62,643.8,801.88
2026-05-07 04:35:00+00:00,643.81,644.07,643.55,643.63,801.2
2026-05-07 04:40:00+00:00,643.62,643.63,643.13,643.51,641.46
2026-05-07 04:45:00+00:00,643.51,644.13,643.49,644.12,774.61
2026-05-07 04:50:00+00:00,644.12,644.43,643.83,644.42,723.86
