time,Open,High,Low,Close,Volume
2026-04-07 12:05:00+00:00,2087.5,2092.26,2073.1,2077.17,116652.319
2026-04-07 12:10:00+00:00,2077.17,2085.42,2075.71,2082.8,30692.362
2026-04-07 12:15:00+00:00,2082.79,2085.71,2077.7,2082.04,29220.349
2026-04-07 12:20:00+00:00,2082.04,2086.76,2079.33,2083.3,18250.687
2026-04-07 12:25:00+00:00,2083.3,2085.05,2082.39,2083.91,8896.118
2026-04-07 12:30:00+00:00,2083.9,2085.33,2080.76,2081.94,16052.488
2026-04-07 12:35:00+00:00,2081.93,2083.7,2080.65,2083.06,6728.037
2026-04-07 12:40:00+00:00,2083.06,2083.98,2073.42,2076.0,35882.082
2026-04-07 12:45:00+00:00,2075.99,2080.65,2073.27,2078.23,28913.019
2026-04-07 12:50:00+00:00,2078.24,2081.9,2076.69,2081.1,12669.895
2026-04-07 12:55:00+00:00,2081.1,2091.0,2080.08,2085.77,65488.795
2026-04-07 13:00:00+00:00,2085.76,2086.91,2082.86,2085.97,15932.117
2026-04-07 13:05:00+00:00,2085.97,2092.61,2085.96,2089.31,29557.95
2026-04-07 13:10:00+00:00,2089.32,2090.28,2085.2,2089.01,13265.222
2026-04-07 13:15:00+00:00,2089.01,2089.48,2083.68,2084.11,13832.577
2026-04-07 13:20:00+00:00,2084.1,2085.19,2082.42,2082.96,10286.945
2026-04-07 13:25:00+00:00,2082.96,2083.88,2082.51,2083.54,5673.694
2026-04-07 13:30:00+00:00,2083.54,2089.49,2079.11,2080.0,30812.434
2026-04-07 13:35:00+00:00,2080.0,2082.43,2077.6,2078.91,18908.526
2026-04-07 13:40:00+00:00,2078.9,2081.33,2075.01,2077.9,16801.745
2026-04-07 13:45:00+00:00,2077.91,2079.01,2073.42,2076.48,27438.137
2026-04-07 13:50:00+00:00,2076.48,2082.82,2074.71,2082.0,18666.324
2026-04-07 13:55:00+00:00,2081.99,2082.55,2073.66,2073.98,24679.78
2026-04-07 14:00:00+00:00,2073.97,2076.39,2068.4,2070.74,59979.543
2026-04-07 14:05:00+00:00,2070.74,2071.75,2058.01,2063.54,119829.21
2026-04-07 14:10:00+00:00,2063.54,2068.46,2063.22,2066.41,32251.26
2026-04-07 14:15:00+00:00,2066.42,2068.7,2061.53,2065.51,35109.439
